Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name

95.11 3.66 35 3.70 -2.56 -1.14 -0.05 0.28 1.62 24 X Y 080691A 3.66 120 44 86 306 47 94 3.670 24 080691A
95.29 7.14 32 -0.20 -4.50 4.70 -0.20 1.98 1.54 24 X Y 082691F 7.14 56 72 8 323 82 162 5.200 24 082691F
94.54 7.30 50 -1.68 -5.90 7.58 2.38 0.46 2.54 24 X Y 082691G 7.30 327 71 -168 233 78 -20 7.700 24 082691G
95.03 6.97 36 -0.17 -8.19 8.36 2.37 6.12 1.78 23 X Y 082691H 6.97 317 59 170 52 81 31 10.380 23 082691H
93.30 8.87 61 -0.50 -4.54 5.04 0.88 -1.49 0.25 23 X Y 031792B 8.87 227 71 1 137 89 161 5.080 23 031792B
93.50 9.22 90 0.32 -1.08 0.76 -0.33 -0.43 0.19 25 X Y 120892E 9.22 137 58 164 235 76 33 1.110 25 120892E
97.56 3.04 57 -1.16 0.83 0.33 1.21 -0.83 -0.38 25 X Y 012093B 3.04 115 19 -98 303 72 -87 1.830 25 012093B
94.80 6.55 104 4.94 -7.50 2.56 0.21 2.74 -4.27 24 X Y 082893C 6.55 283 53 143 38 61 43 8.130 24 082893C
95.92 2.85 15 0.96 -0.60 -0.37 2.18 -1.94 0.54 25 X Y 090193F 2.85 306 9 85 132 81 91 3.090 25 090193F
98.00 1.73 41 6.70 -6.72 0.03 5.13 -6.26 4.16 23 X Y 110193A 1.73 272 27 51 135 69 108 11.270 23 110193A
94.37 7.70 41 -0.54 -5.95 6.49 -0.30 -0.73 3.11 24 X Y 052594H 7.70 148 85 177 238 87 5 6.990 24 052594H
93.63 8.03 33 -2.74 -1.41 4.16 2.73 -0.38 4.26 23 X Y 100294A 8.03 350 58 -154 246 68 -35 6.230 23 100294A
96.00 2.63 37 1.08 -1.13 0.05 1.01 -0.89 0.68 25 X Y 103194B 2.63 276 24 59 129 69 103 1.850 25 103194B
97.30 4.33 163 3.15 -5.58 2.42 8.71 -6.30 -3.92 24 X Y 112094L 4.33 217 29 15 113 83 119 12.230 24 112094L
97.65 1.32 33 -5.42 4.62 0.80 8.68 -8.34 -0.18 23 X Y 022695A 1.32 89 13 -130 310 80 -81 12.910 23 022695A
95.63 2.78 29 1.24 -0.90 -0.34 0.74 -0.70 0.82 24 X Y 031495D 2.78 299 27 79 131 64 95 1.700 24 031495D
95.62 2.91 49 3.22 -2.89 -0.33 2.73 -1.54 3.86 23 X Y 060395B 2.91 320 29 110 117 63 79 5.460 23 060395B
94.98 3.64 76 -5.14 3.25 1.89 0.72 -1.20 -2.08 23 X Y 063095E 3.64 120 38 -99 311 52 -83 5.140 23 063095E
93.97 9.18 27 -2.28 2.98 -0.70 -3.17 3.18 6.07 23 X Y 072795D 9.18 195 62 -156 93 69 -30 7.980 23 072795D
94.77 2.00 30 -0.56 -0.72 1.28 0.53 -0.32 -2.39 26 X Y 110895A 2.00 192 77 0 102 90 167 2.650 26 110895A
95.72 2.85 35 3.38 -2.97 -0.41 2.78 -2.91 2.84 24 X Y 112295C 2.85 285 25 63 135 68 102 5.770 24 112295C
94.63 7.25 44 -0.54 -4.87 5.41 0.40 -0.00 3.17 24 X Y 041296A 7.25 331 86 -178 241 88 -4 6.050 24 041296A
94.57 7.28 48 -0.09 -1.12 1.21 -0.06 -0.03 0.45 24 X Y 041396A 7.28 146 87 -179 56 89 -3 1.250 24 041396A
93.87 8.65 30 0.05 -2.41 2.36 0.37 0.86 7.73 23 X Y 062596A 8.65 82 84 3 351 87 174 8.140 23 062596A
95.52 3.04 35 7.30 -3.46 -3.84 4.26 -2.39 3.17 23 X Y 091396D 3.04 324 29 105 127 62 82 8.580 23 091396D
95.38 5.85 33 0.03 -3.78 3.75 -1.96 4.69 1.93 23 X Y 092196P 5.85 61 40 1 330 89 130 6.580 23 092196P
97.78 3.43 23 -0.10 -2.54 2.64 -0.10 0.05 0.86 25 X Y 101096F 3.43 54 88 -1 144 89 -178 2.730 25 101096F
93.30 9.06 48 0.49 0.53 -1.02 -0.72 1.55 9.27 23 X Y 011197C 9.06 92 81 -4 182 86 -171 9.450 23 011197C
